Time,Node,State,Running jobs,Expected jobs
1.52802e+06,Syn_0,allocated,237,none
1.52802e+06,Syn_1,allocated,237,none
1.52802e+06,Syn_27,allocated,237,none
1.52802e+06,Syn_28,allocated,237,none
1.52802e+06,Syn_29,allocated,237,none
1.52802e+06,Syn_3,allocated,237,none
1.52802e+06,Syn_4,allocated,237,none
1.52802e+06,Syn_7,allocated,237,none
1.53971e+06,Syn_18,free,none,none
1.53971e+06,Syn_19,free,none,none
1.53971e+06,Syn_30,free,none,none
1.53971e+06,Syn_31,free,none,none
1.53971e+06,Syn_5,free,none,none
1.53971e+06,Syn_6,free,none,none
1.53971e+06,Syn_8,free,none,none
1.53971e+06,Syn_9,free,none,none
1.53971e+06,Syn_18,allocated,238,none
1.53971e+06,Syn_19,allocated,238,none
1.53971e+06,Syn_30,allocated,238,none
1.53971e+06,Syn_31,allocated,238,none
1.53972e+06,Syn_5,allocated,239,none
1.53972e+06,Syn_6,allocated,239,none
1.53972e+06,Syn_8,allocated,239,none
1.53972e+06,Syn_9,allocated,239,none
1.55222e+06,Syn_10,free,none,none
1.55222e+06,Syn_11,free,none,none
1.55222e+06,Syn_12,free,none,none
1.55222e+06,Syn_14,free,none,none
1.55222e+06,Syn_15,free,none,none
1.55222e+06,Syn_16,free,none,none
1.55222e+06,Syn_17,free,none,none
1.55222e+06,Syn_20,free,none,none
1.55222e+06,Syn_10,allocated,240,none
1.55222e+06,Syn_11,allocated,240,none
1.55222e+06,Syn_12,allocated,240,none
1.55222e+06,Syn_14,allocated,240,none
1.56152e+06,Syn_13,free,none,none
1.56152e+06,Syn_2,free,none,none
1.56152e+06,Syn_21,free,none,none
1.56152e+06,Syn_22,free,none,none
1.56152e+06,Syn_23,free,none,none
1.56152e+06,Syn_24,free,none,none
1.56152e+06,Syn_25,free,none,none
1.56152e+06,Syn_26,free,none,none
1.56152e+06,Syn_13,allocated,241,none
1.56152e+06,Syn_15,allocated,241,none
1.56152e+06,Syn_16,allocated,241,none
1.56152e+06,Syn_17,allocated,241,none
1.56152e+06,Syn_2,allocated,241,none
1.56152e+06,Syn_20,allocated,241,none
1.56152e+06,Syn_21,allocated,241,none
1.56152e+06,Syn_22,allocated,241,none
1.56154e+06,Syn_23,allocated,242,none
1.56154e+06,Syn_24,allocated,242,none
1.56154e+06,Syn_25,allocated,242,none
1.56154e+06,Syn_26,allocated,242,none
1.56498e+06,Syn_0,free,none,none
1.56498e+06,Syn_1,free,none,none
1.56498e+06,Syn_27,free,none,none
1.56498e+06,Syn_28,free,none,none
1.56498e+06,Syn_29,free,none,none
1.56498e+06,Syn_3,free,none,none
1.56498e+06,Syn_4,free,none,none
1.56498e+06,Syn_7,free,none,none
1.56498e+06,Syn_0,allocated,243,none
1.56498e+06,Syn_1,allocated,243,none
1.56498e+06,Syn_27,allocated,243,none
1.56498e+06,Syn_28,allocated,243,none
1.56557e+06,Syn_18,free,none,none
1.56557e+06,Syn_19,free,none,none
1.56557e+06,Syn_30,free,none,none
1.56557e+06,Syn_31,free,none,none
1.56557e+06,Syn_18,allocated,244,none
1.56557e+06,Syn_19,allocated,244,none
1.56557e+06,Syn_29,allocated,244,none
1.56557e+06,Syn_3,allocated,244,none
1.56557e+06,Syn_30,allocated,244,none
1.56557e+06,Syn_31,allocated,244,none
1.56557e+06,Syn_4,allocated,244,none
1.56557e+06,Syn_7,allocated,244,none
1.56775e+06,Syn_5,free,none,none
1.56775e+06,Syn_6,free,none,none
1.56775e+06,Syn_8,free,none,none
1.56775e+06,Syn_9,free,none,none
1.58121e+06,Syn_10,free,none,none
1.58121e+06,Syn_11,free,none,none
1.58121e+06,Syn_12,free,none,none
1.58121e+06,Syn_14,free,none,none
1.58121e+06,Syn_10,allocated,245,none
1.58121e+06,Syn_11,allocated,245,none
1.58121e+06,Syn_12,allocated,245,none
1.58121e+06,Syn_14,allocated,245,none
1.58121e+06,Syn_5,allocated,245,none
1.58121e+06,Syn_6,allocated,245,none
1.58121e+06,Syn_8,allocated,245,none
1.58121e+06,Syn_9,allocated,245,none
1.58929e+06,Syn_23,free,none,none
1.58929e+06,Syn_24,free,none,none
1.58929e+06,Syn_25,free,none,none
1.58929e+06,Syn_26,free,none,none
1.58929e+06,Syn_23,allocated,246,none
1.58929e+06,Syn_24,allocated,246,none
1.59384e+06,Syn_0,free,none,none
1.59384e+06,Syn_1,free,none,none
1.59384e+06,Syn_27,free,none,none
1.59384e+06,Syn_28,free,none,none
1.59849e+06,Syn_13,free,none,none
1.59849e+06,Syn_15,free,none,none
1.59849e+06,Syn_16,free,none,none
1.59849e+06,Syn_17,free,none,none
1.59849e+06,Syn_2,free,none,none
1.59849e+06,Syn_20,free,none,none
1.59849e+06,Syn_21,free,none,none
1.59849e+06,Syn_22,free,none,none
1.59849e+06,Syn_0,allocated,247,none
1.59849e+06,Syn_1,allocated,247,none
1.59849e+06,Syn_13,allocated,247,none
1.59849e+06,Syn_15,allocated,247,none
1.59849e+06,Syn_16,allocated,247,none
1.59849e+06,Syn_17,allocated,247,none
1.59849e+06,Syn_2,allocated,247,none
1.59849e+06,Syn_20,allocated,247,none
1.60248e+06,Syn_18,free,none,none
1.60248e+06,Syn_19,free,none,none
1.60248e+06,Syn_29,free,none,none
1.60248e+06,Syn_3,free,none,none
1.60248e+06,Syn_30,free,none,none
1.60248e+06,Syn_31,free,none,none
1.60248e+06,Syn_4,free,none,none
1.60248e+06,Syn_7,free,none,none
1.60248e+06,Syn_18,allocated,248,none
1.60248e+06,Syn_19,allocated,248,none
1.60248e+06,Syn_21,allocated,248,none
1.60248e+06,Syn_22,allocated,248,none
1.60248e+06,Syn_25,allocated,248,none
1.60248e+06,Syn_26,allocated,248,none
1.60248e+06,Syn_27,allocated,248,none
1.60248e+06,Syn_28,allocated,248,none
1.60248e+06,Syn_29,allocated,249,none
1.60248e+06,Syn_3,allocated,249,none
1.60248e+06,Syn_30,allocated,249,none
1.60248e+06,Syn_31,allocated,249,none
1.61346e+06,Syn_23,free,none,none
1.61346e+06,Syn_24,free,none,none
1.61346e+06,Syn_23,allocated,250,none
1.61346e+06,Syn_24,allocated,250,none
1.61346e+06,Syn_4,allocated,250,none
1.61346e+06,Syn_7,allocated,250,none
1.61724e+06,Syn_10,free,none,none
1.61724e+06,Syn_11,free,none,none
1.61724e+06,Syn_12,free,none,none
1.61724e+06,Syn_14,free,none,none
1.61724e+06,Syn_5,free,none,none
1.61724e+06,Syn_6,free,none,none
1.61724e+06,Syn_8,free,none,none
1.61724e+06,Syn_9,free,none,none
1.61724e+06,Syn_10,allocated,251,none
1.61724e+06,Syn_11,allocated,251,none
1.61724e+06,Syn_12,allocated,251,none
1.61724e+06,Syn_14,allocated,251,none
1.63173e+06,Syn_29,free,none,none
1.63173e+06,Syn_3,free,none,none
1.63173e+06,Syn_30,free,none,none
1.63173e+06,Syn_31,free,none,none
1.63173e+06,Syn_29,allocated,252,none
